"","Rango_Edad","N_Examinados","Especie","Prevalencia"
"1","5-10",60,"Total_Todas",13.33
"2","5-10",60,"T_saginata_asiatica",6.67
"3","5-10",60,"T_solium",6.67
"4","5-10",60,"T_saginata",3.33
"5","11-15",53,"Total_Todas",30.19
"6","11-15",53,"T_saginata_asiatica",16.98
"7","11-15",53,"T_solium",11.32
"8","11-15",53,"T_saginata",3.77
"9","16-20",15,"Total_Todas",53.33
"10","16-20",15,"T_saginata_asiatica",53.33
"11","16-20",15,"T_solium",0
"12","16-20",15,"T_saginata",0
"13","21-30",61,"Total_Todas",67.21
"14","21-30",61,"T_saginata_asiatica",57.38
"15","21-30",61,"T_solium",6.56
"16","21-30",61,"T_saginata",8.2
"17","31-40",71,"Total_Todas",64.79
"18","31-40",71,"T_saginata_asiatica",52.11
"19","31-40",71,"T_solium",1.41
"20","31-40",71,"T_saginata",18.31
"21","41-50",62,"Total_Todas",62.9
"22","41-50",62,"T_saginata_asiatica",59.68
"23","41-50",62,"T_solium",3.23
"24","41-50",62,"T_saginata",11.29
"25","51-60",41,"Total_Todas",53.66
"26","51-60",41,"T_saginata_asiatica",46.34
"27","51-60",41,"T_solium",0
"28","51-60",41,"T_saginata",9.76
"29","61-75",26,"Total_Todas",53.85
"30","61-75",26,"T_saginata_asiatica",50
"31","61-75",26,"T_solium",0
"32","61-75",26,"T_saginata",7.69
