,Fecha,t_num,Clado,Pico_Frec,Frecuencia,Casos_Totales,Mutaciones
1,2019-12-01,18231,Alpha/Beta/Gamma,18659,3.65E-05,16.85479224,NA
2,2019-12-01,18231,Cepa Colombiana (B.1-like 2026),20558,6.31E-184,16.85479224,NA
3,2019-12-01,18231,Delta (21A-21J),18871,2.70E-18,16.85479224,NA
4,2019-12-01,18231,Linajes Basales (19A-20C),18383,0.9999634845,16.85479224,0.1918476767
5,2019-12-01,18231,Omicron BA.1/BA.2,19024,1.28E-54,16.85479224,NA
6,2019-12-01,18231,Omicron BA.4/BA.5,19205,2.67E-57,16.85479224,NA
7,2019-12-01,18231,XBB y derivados recientes,19875,4.36E-10,16.85479224,NA
8,2019-12-02,18232,Alpha/Beta/Gamma,18659,3.81E-05,7.176509143,NA
9,2019-12-02,18232,Cepa Colombiana (B.1-like 2026),20558,8.98E-184,7.176509143,NA
10,2019-12-02,18232,Delta (21A-21J),18871,3.04E-18,7.176509143,NA
11,2019-12-02,18232,Linajes Basales (19A-20C),18383,0.9999619085,7.176509143,0.6208117959
12,2019-12-02,18232,Omicron BA.1/BA.2,19024,1.74E-54,7.176509143,NA
13,2019-12-02,18232,Omicron BA.4/BA.5,19205,3.46E-57,7.176509143,NA
14,2019-12-02,18232,XBB y derivados recientes,19875,4.43E-10,7.176509143,NA
15,2019-12-03,18233,Alpha/Beta/Gamma,18659,3.97E-05,11.81564206,NA
16,2019-12-03,18233,Cepa Colombiana (B.1-like 2026),20558,1.28E-183,11.81564206,NA
17,2019-12-03,18233,Delta (21A-21J),18871,3.43E-18,11.81564206,NA
18,2019-12-03,18233,Linajes Basales (19A-20C),18383,0.9999602666,11.81564206,0
19,2019-12-03,18233,Omicron BA.1/BA.2,19024,2.36E-54,11.81564206,NA
20,2019-12-03,18233,Omicron BA.4/BA.5,19205,4.49E-57,11.81564206,NA
21,2019-12-03,18233,XBB y derivados recientes,19875,4.50E-10,11.81564206,NA
22,2019-12-04,18234,Alpha/Beta/Gamma,18659,4.14E-05,13.16431302,NA
23,2019-12-04,18234,Cepa Colombiana (B.1-like 2026),20558,1.82E-183,13.16431302,NA
24,2019-12-04,18234,Delta (21A-21J),18871,3.86E-18,13.16431302,NA
25,2019-12-04,18234,Linajes Basales (19A-20C),18383,0.9999585562,13.16431302,0.7573402043
26,2019-12-04,18234,Omicron BA.1/BA.2,19024,3.21E-54,13.16431302,NA
